num_factura,fecha_venta,producto,vendedor,cliente,cantidad
1,2023-07-19,42,45,41,2
1,2023-07-19,39,45,41,3
1,2023-07-19,56,45,41,4
1,2023-07-19,55,45,41,3
2,2026-01-18,11,39,16,4
2,2026-01-18,36,39,16,4
3,2025-09-23,53,15,28,4
3,2025-09-23,36,15,28,2
3,2025-09-23,52,15,28,1
3,2025-09-23,54,15,28,3
4,2024-06-06,44,40,58,4
5,2025-04-06,60,34,119,2
5,2025-04-06,21,34,119,1
5,2025-04-06,31,34,119,2
5,2025-04-06,49,34,119,2
6,2024-01-29,53,17,112,3
6,2024-01-29,56,17,112,1
6,2024-01-29,29,17,112,3
6,2024-01-29,46,17,112,4
7,2026-02-02,20,43,105,2
7,2026-02-02,13,43,105,4
7,2026-02-02,11,43,105,2
8,2025-01-13,21,21,53,3
9,2023-01-21,16,40,47,3
9,2023-01-21,33,40,47,1
9,2023-01-21,17,40,47,3
9,2023-01-21,23,40,47,3
10,2024-09-01,32,17,28,1
10,2024-09-01,46,17,28,2
10,2024-09-01,11,17,28,1
11,2022-11-12,8,11,13,4
11,2022-11-12,55,11,13,1
11,2022-11-12,57,11,13,3
11,2022-11-12,14,11,13,3
12,2023-01-09,42,18,83,1
12,2023-01-09,48,18,83,1
12,2023-01-09,35,18,83,3
12,2023-01-09,40,18,83,4
12,2023-01-09,43,18,83,4
13,2024-09-11,7,37,94,3
13,2024-09-11,31,37,94,3
13,2024-09-11,8,37,94,4
14,2023-05-13,30,12,28,4
14,2023-05-13,19,12,28,1
14,2023-05-13,3,12,28,2
15,2023-10-01,42,9,95,3
15,2023-10-01,18,9,95,1
15,2023-10-01,3,9,95,2
15,2023-10-01,50,9,95,2
16,2025-03-16,10,26,117,2
16,2025-03-16,35,26,117,3
17,2022-05-05,42,41,70,3
17,2022-05-05,20,41,70,2
17,2022-05-05,44,41,70,1
17,2022-05-05,9,41,70,3
17,2022-05-05,59,41,70,3
18,2023-10-13,36,13,19,3
18,2023-10-13,53,13,19,1
18,2023-10-13,37,13,19,2
18,2023-10-13,23,13,19,4
18,2023-10-13,25,13,19,1
19,2023-10-10,43,8,48,4
19,2023-10-10,56,8,48,3
19,2023-10-10,48,8,48,1
20,2025-06-20,19,19,48,2
20,2025-06-20,28,19,48,2
21,2025-11-14,39,32,33,3
22,2026-01-27,60,44,16,4
22,2026-01-27,13,44,16,4
22,2026-01-27,26,44,16,3
23,2025-11-15,1,26,73,3
23,2025-11-15,56,26,73,2
23,2025-11-15,60,26,73,2
23,2025-11-15,9,26,73,1
24,2023-08-13,52,31,91,3
24,2023-08-13,28,31,91,2
25,2022-07-17,16,38,95,2
26,2023-09-15,1,33,23,2
